"","NAME_CHAR","n"
"413","F10.24 Alcohol Dependence With Alcohol-Induced Mood Disorder",237
"414","300.22 Agoraphobia Without Mention Of Panic Attacks",232
"415","F45.22 Body Dysmorphic Disorder",232
"416","296.54 Bipolar Affective Disorder, Depressed, Severe Degree, Specified As With Psychotic Behavior",230
"417","244.1 Other Postablative Hypothyroidism",225
"418","297.1 Paranoia",225
"419","E88.2 Lipomatosis, Not Elsewhere Classified",224
"420","276.7 Hyperpotassemia",223
"421","F19.982 Other Psychoactive Substance Use, Unspecified With Psychoactive Substance-Induced Sleep Disorder",223
"422","F45.1 Undifferentiated Somatoform Disorder",221
"423","F31.78 Bipolar Disorder, In Full Remission, Most Recent Episode Mixed",219
"424","F71 Moderate Mental Retardation",214
"425","305.63 Cocaine Abuse, In Remission",212
"426","307.42 Persistent Disorder Of Initiating Or Maintaining Sleep",212
"427","E88.09 Other Disorders Of Plasma-Protein Metabolism, Not Elsewhere Classified",211
"428","E10.22 Type 1 Diabetes Mellitus With Diabetic Chronic Kidney Disease",210
"429","F19.94 Other Psychoactive Substance Use, Unspecified With Psychoactive Substance-Induced Mood Disorder",208
"430","299.00 Infantile Autism, Current Or Active State",207
"431","F45.41 Pain Disorder Exclusively Related To Psychological Factors",206
"432","F20.81 Schizophreniform Disorder",203
"433","E11.3393 Type 2 Diabetes Mellitus With Moderate Nonproliferative Diabetic Retinopathy Without Macular Edema, Bilateral",199
"434","E11.3599 Type 2 Diabetes Mellitus With Proliferative Diabetic Retinopathy Without Macular Edema, Unspecified Eye",198
"435","274.00 Gouty Arthropathy, Unspecified",195
"436","E87.8 Other Disorders Of Electrolyte And Fluid Balance, Not Elsewhere Classified",195
"437","F31.74 Bipolar Disorder, In Full Remission, Most Recent Episode Manic",195
"438","241.1 Nontoxic Multinodular Goiter",194
"439","271.3 Intestinal Disaccharidase Deficiencies And Disaccharide Malabsorption",193
"440","F13.21 Sedative, Hypnotic Or Anxiolytic Dependence, In Remission",193
"441","296.26 Major Depressive Disorder, Single Episode In Full Remission",192
"442","315.9 Unspecified Delay In Development",192
"443","F34.81 Disruptive Mood Dysregulation Disorder",192
"444","F28 Other Psychotic Disorder Not Due To A Substance Or Known Physiological Condition",191
"445","272.9 Unspecified Disorder Of Lipoid Metabolism",189
"446","296.51 Bipolar Affective Disorder, Depressed, Mild Degree",189
"447","F34.89 Other Specified Persistent Mood Disorders",189
"448","296.64 Bipolar Affective Disorder, Mixed, Severe Degree, Specified As With Psychotic Behavior",185
"449","F63.0 Pathological Gambling",185
"450","E11.620 Type 2 Diabetes Mellitus With Diabetic Dermatitis",184
"451","I15.1 Hypertension Secondary To Other Renal Disorders",183
"452","E11.618 Type 2 Diabetes Mellitus With Other Diabetic Arthropathy",180
"453","F51.09 Other Insomnia Not Due To A Substance Or Known Physiological Condition",179
"454","308.3 Other Acute Reactions To Stress",178
"455","250.70 Diabetes Mellitus Type II [Non-Insulin Dependent Type] [Niddm Type] [Adult-Onset Type] Or Unspecified Type, Not Stated As Uncontrolled, With Peripheral Circulatory Disorders",177
"456","305.01 Alcohol Abuse, Continuous Drinking Behavior",176
"457","F15.90 Other Stimulant Use, Unspecified, Uncomplicated",176
"458","F31.71 Bipolar Disorder, In Partial Remission, Most Recent Episode Hypomanic",175
"459","V11.3 Personal History Of Alcoholism",174
"460","F30.9 Manic Episode, Unspecified",171
"461","V15.49 Other Personal History Of Psychological Trauma, Presenting Hazards To Health",170
"462","309.89 Other Specified Adjustment Reactions",168
"463","291.81 Alcohol Withdrawal",167
"464","296.99 Other Specified Affective Psychoses",167
"465","300.11 Conversion Disorder",164
"466","302.50 Trans-Sexualism With Unspecified Sexual History",162
"467","304.83 Combinations Of Drug Dependence Excluding Opioid Type Drug, In Remission",162
"468","E11.3593 Type 2 Diabetes Mellitus With Proliferative Diabetic Retinopathy Without Macular Edema, Bilateral",162
"469","E78.3 Hyperchylomicronemia",161
"470","296.62 Bipolar Affective Disorder, Mixed, Moderate Degree",160
"471","E10.10 Type 1 Diabetes Mellitus With Ketoacidosis Without Coma",160
"472","I16.1 Hypertensive Emergency",160
"473","I16.9 Hypertensive Crisis, Unspecified",160
"474","E11.52 Type 2 Diabetes Mellitus With Diabetic Peripheral Angiopathy With Gangrene",158
"475","300.29 Other Isolated Or Simple Phobias",157
"476","E08.21 Diabetes Mellitus Due To Underlying Condition With Diabetic Nephropathy",157
"477","F10.280 Alcohol Dependence With Alcohol-Induced Anxiety Disorder",157
"478","F42.3 Hoarding Disorder",157
"479","I13.10 Hypertensive Heart And Chronic Kidney Disease Without Heart Failure, With Stage 1 Through Stage 4 Chronic Kidney Disease, Or Unspecified Chronic Kidney Disease",156
"480","F95.9 Tic Disorder, Unspecified",155
"481","304.20 Cocaine Dependence, Unspecified Use",154
"482","F21 Schizotypal Disorder",153
"483","E65 Localized Adiposity",152
"484","F10.229 Alcohol Dependence With Intoxication, Unspecified",152
"485","F10.14 Alcohol Abuse With Alcohol-Induced Mood Disorder",151
"486","F40.240 Claustrophobia",151
"487","309.1 Adjustment Reaction With Prolonged Depressive Reaction",150
"488","F69 Unspecified Disorder Of Adult Personality And Behavior",150
"489","296.42 Bipolar Affective Disorder, Manic, Moderate Degree",149
"490","F50.01 Anorexia Nervosa, Restricting Type",149
"491","302.6 Disorders Of Psychosexual Identity",148
"492","F06.32 Mood Disorder Due To Known Physiological Condition With Major Depressive-Like Episode",148
"493","302.70 Psychosexual Dysfunction, Unspecified",147
"494","319 Unspecified Mental Retardation",147
"495","E08.621 Diabetes Mellitus Due To Underlying Condition With Foot Ulcer",146
"496","F10.220 Alcohol Dependence With Intoxication, Uncomplicated",146
"497","F60.2 Antisocial Personality Disorder",146
"498","317 Mild Mental Retardation",145
"499","F89 Unspecified Disorder Of Psychological Development",144
"500","303.92 Other And Unspecified Alcohol Dependence, Episodic Drinking Behavior",143
"501","E88.1 Lipodystrophy, Not Elsewhere Classified",143
"502","302.85 Gender Identity Disorder Of Adolescent Or Adult Life",142
"503","F50.02 Anorexia Nervosa, Binge Eating/Purging Type",142
"504","274.02 Chronic Gouty Arthropathy Without Mention Of Tophus (Tophi)",141
"505","275.41 Hypocalcemia",141
"506","305.21 Cannabis Abuse, Continuous Use",141
"507","E11.3399 Type 2 Diabetes Mellitus With Moderate Nonproliferative Diabetic Retinopathy Without Macular Edema, Unspecified Eye",141
"508","312.9 Unspecified Disturbance Of Conduct",140
"509","F45.0 Somatization Disorder",137
"510","E08.22 Diabetes Mellitus Due To Underlying Condition With Diabetic Chronic Kidney Disease",136
"511","E78.41 Elevated Lipoprotein(A)",135
"512","307.9 Other And Unspecified Special Symptoms Or Syndromes, Not Elsewhere Classified",134
"513","E74.39 Other Disorders Of Intestinal Carbohydrate Absorption",134
"514","E10.29 Type 1 Diabetes Mellitus With Other Diabetic Kidney Complication",133
"515","E11.3291 Type 2 Diabetes Mellitus With Mild Nonproliferative Diabetic Retinopathy Without Macular Edema, Right Eye",133
"516","E13.69 Other Specified Diabetes Mellitus With Other Specified Complication",133
"517","307.89 Other Psychalgia",132
"518","F01.51 Vascular Dementia With Behavioral Disturbance",132
"519","E11.10 Type 2 Diabetes Mellitus With Ketoacidosis Without Coma",131
"520","F93.8 Other Childhood Emotional Disorders",130
"521","269.9 Unspecified Nutritional Deficiency",129
"522","F60.5 Obsessive-Compulsive Personality Disorder",129
"523","F34.9 Persistent Mood [Affective] Disorder, Unspecified",128
"524","F06.34 Mood Disorder Due To Known Physiological Condition With Mixed Features",125
"525","Z81.1 Family History Of Alcohol Abuse And Dependence",124
"526","275.2 Disorders Of Magnesium Metabolism",122
"527","E80.4 Gilbert'S Syndrome",122
"528","F78 Other Mental Retardation",122
"529","F13.11 Sedative, Hypnotic Or Anxiolytic Abuse, In Remission",121
"530","276.51 Dehydration",120
"531","305.51 Opioid Abuse, Continuous Use",119
"532","E10.21 Type 1 Diabetes Mellitus With Diabetic Nephropathy",119
"533","E87.0 Hyperosmolality And Hypernatremia",119
"534","E11.3219 Type 2 Diabetes Mellitus With Mild Nonproliferative Diabetic Retinopathy With Macular Edema, Unspecified Eye",118
"535","E83.119 Hemochromatosis, Unspecified",118
"536","F93.0 Separation Anxiety Disorder Of Childhood",118
"537","252.00 Hyperparathyroidism, Unspecified",117
"538","E11.630 Type 2 Diabetes Mellitus With Periodontal Disease",117
"539","F45.21 Hypochondriasis",117
"540","307.46 Somnambulism Or Night Terrors",116
"541","F10.19 Alcohol Abuse With Unspecified Alcohol-Induced Disorder",116
"542","F60.7 Dependent Personality Disorder",116
"543","F84.9 Pervasive Developmental Disorder, Unspecified",116
"544","E88.89 Other Specified Metabolic Disorders",114
"545","F43.24 Adjustment Disorder With Disturbance Of Conduct",114
"546","F60.89 Other Specific Personality Disorders",114
"547","V11.1 Personal History Of Affective Disorders",113
"548","E83.110 Hereditary Hemochromatosis",112
"549","263.9 Unspecified Protein-Calorie Malnutrition",111
"550","296.00 Manic Disorder, Single Episode, Unspecified Degree",109
"551","E11.3292 Type 2 Diabetes Mellitus With Mild Nonproliferative Diabetic Retinopathy Without Macular Edema, Left Eye",109
"552","E72.12 Methylenetetrahydrofolate Reductase Deficiency",109
"553","F52.0 Hypoactive Sexual Desire Disorder",109
"554","F72 Severe Mental Retardation",109
"555","E13.21 Other Specified Diabetes Mellitus With Diabetic Nephropathy",108
"556","F10.288 Alcohol Dependence With Other Alcohol-Induced Disorder",108
"557","V17.1 Family History Of Stroke (Cerebrovascular)",108
"558","250.72 Diabetes Mellitus Type II [Non-Insulin Dependent Type] [Niddm Type] [Adult-Onset Type] Or Unspecified Type, Uncontrolled, With Peripheral Circulatory Disorders",107
"559","F80.9 Developmental Disorder Of Speech Or Language, Unspecified",106
"560","307.1 Anorexia Nervosa",105
"561","E13.621 Other Specified Diabetes Mellitus With Foot Ulcer",105
"562","F52.9 Unspecified Sexual Dysfunction Not Due To A Substance Or Known Physiological Condition",105
"563","277.4 Disorders Of Bilirubin Excretion",104
"564","296.41 Bipolar Affective Disorder, Manic, Mild Degree",104
"565","F10.27 Alcohol Dependence With Alcohol-Induced Persisting Dementia",104
"566","312.34 Intermittent Explosive Disorder",103
"567","294.10 Dementia In Conditions Classified Elsewhere Without Behavioral Disturbance",101
"568","F17.208 Nicotine Dependence, Unspecified, With Other Nicotine-Induced Disorders",101
"569","F17.213 Nicotine Dependence, Cigarettes, With Withdrawal",101
"570","296.63 Bipolar Affective Disorder, Mixed, Severe Degree, Without Mention Of Psychotic Behavior",100
"571","305.23 Cannabis Abuse, In Remission",100
"572","E78.0 Pure Hypercholesterolemia",100
"573","V11.9 Personal History Of Unspecified Mental Disorder",100
"574","305.40 Barbiturate And Similarly Acting Sedative Or Hypnotic Abuse, Unspecified Use",99
"575","E11.3313 Type 2 Diabetes Mellitus With Moderate Nonproliferative Diabetic Retinopathy With Macular Edema, Bilateral",99
"576","F91.9 Conduct Disorder, Unspecified",99
"577","255.41 Glucocorticoid Deficiency",98
"578","307.23 Gilles De La Tourette'S Disorder",98
"579","F20.5 Residual Schizophrenia",98
"580","250.61 Diabetes Mellitus Type I [Insulin Dependent Type] [Iddm] [Juvenile Type], Not Stated As Uncontrolled, With Neurological Manifestations",97
"581","295.32 Paranoid Type Schizophrenia, Chronic State",96
"582","E10.319 Type 1 Diabetes Mellitus With Unspecified Diabetic Retinopathy Without Macular Edema",96
"583","E83.39 Other Disorders Of Phosphorus Metabolism",96
"584","F06.8 Other Specified Mental Disorders Due To Known Physiological Condition",96
"585","304.43 Amphetamine And Other Psychostimulant Dependence, In Remission",93
"586","243 Congenital Hypothyroidism",91
"587","300.81 Somatization Disorder",91
"588","F88 Other Disorders Of Psychological Development",91
"589","302.75 Psychosexual Dysfunction With Premature Ejaculation",90
"590","312.39 Other Disorders Of Impulse Control",90
"591","E11.3513 Type 2 Diabetes Mellitus With Proliferative Diabetic Retinopathy With Macular Edema, Bilateral",90
"592","E72.20 Disorder Of Urea Cycle Metabolism, Unspecified",90
"593","V17.2 Family History Of Other Neurological Diseases",90
"594","F60.81 Narcissistic Personality Disorder",89
"595","305.72 Amphetamine Or Related Acting Sympathomimetic Abuse, Episodic Use",88
"596","F10.929 Alcohol Use, Unspecified With Intoxication, Unspecified",87
"597","293.84 Organic Anxiety Syndrome",86
"598","296.44 Bipolar Affective Disorder, Manic, Severe Degree, Specified As With Psychotic Behavior",85
"599","F10.129 Alcohol Abuse With Intoxication, Unspecified",85
"600","F40.231 Fear Of Injections And Transfusions",84
"601","F80.81 Childhood Onset Fluency Disorder",84
"602","313.81 Oppositional Disorder Of Childhood Or Adolescence",82
"603","E10.649 Type 1 Diabetes Mellitus With Hypoglycemia Without Coma",82
"604","E75.6 Lipid Storage Disorder, Unspecified",82
"605","F10.920 Alcohol Use, Unspecified With Intoxication, Uncomplicated",82
"606","304.91 Unspecified Drug Dependence, Continuous Use",81
"607","256.31 Premature Menopause",80
"608","F11.24 Opioid Dependence With Opioid-Induced Mood Disorder",80
"609","253.1 Other And Unspecified Anterior Pituitary Hyperfunction",79
"610","309.4 Adjustment Reaction With Mixed Disturbance Of Emotions And Conduct",79
"611","F53 Puerperal Psychosis",79
"612","E10.43 Type 1 Diabetes Mellitus With Diabetic Autonomic (Poly)Neuropathy",77
"613","250.83 Diabetes Mellitus Type I [Insulin Dependent Type] [Iddm] [Juvenile Type], Uncontrolled, With Other Specified Manifestations",76
"614","E13.49 Other Specified Diabetes Mellitus With Other Diabetic Neurological Complication",76
"615","F51.03 Paradoxical Insomnia",76
"616","F81.0 Specific Reading Disorder",76
"617","301.13 Cyclothymic Disorder",74
"618","E08.43 Diabetes Mellitus Due To Underlying Condition With Diabetic Autonomic (Poly)Neuropathy",74
"619","E13.319 Other Specified Diabetes Mellitus With Unspecified Diabetic Retinopathy Without Macular Edema",74
"620","F16.21 Hallucinogen Dependence, In Remission",74
"621","E08.69 Diabetes Mellitus Due To Underlying Condition With Other Specified Complication",72
"622","E11.3493 Type 2 Diabetes Mellitus With Severe Nonproliferative Diabetic Retinopathy Without Macular Edema, Bilateral",72
"623","F10.94 Alcohol Use, Unspecified With Alcohol-Induced Mood Disorder",72
"624","F50.82 Avoidant/Restrictive Food Intake Disorder",72
"625","F20.2 Catatonic Schizophrenia",71
"626","F68.8 Other Specified Disorders Of Adult Personality And Behavior",71
"627","252.01 Primary Hyperparathyroidism",70
"628","290.0 Senile Dementia, Uncomplicated",70
"629","300.20 Phobia, Unspecified",70
"630","E08.311 Diabetes Mellitus Due To Underlying Condition With Unspecified Diabetic Retinopathy With Macular Edema",70
"631","304.23 Cocaine Dependence, In Remission",69
"632","306.4 Gastrointestinal Malfunction Arising From Mental Factors",69
"633","E11.3213 Type 2 Diabetes Mellitus With Mild Nonproliferative Diabetic Retinopathy With Macular Edema, Bilateral",69
"634","E83.19 Other Disorders Of Iron Metabolism",69
"635","E88.9 Metabolic Disorder, Unspecified",69
"636","F10.180 Alcohol Abuse With Alcohol-Induced Anxiety Disorder",69
"637","275.03 Other Hemochromatosis",68
"638","295.62 Residual Schizophrenia, Chronic State",68
"639","301.7 Antisocial Personality Disorder",68
"640","E09.9 Drug Or Chemical Induced Diabetes Mellitus Without Complications",68
"641","F30.10 Manic Episode Without Psychotic Symptoms, Unspecified",68
"642","F30.8 Other Manic Episodes",68
"643","F16.10 Hallucinogen Abuse, Uncomplicated",67
"644","F52.31 Female Orgasmic Disorder",67
"645","249.60 Secondary Diabetes Mellitus With Neurological Manifestations, Not Stated As Uncontrolled, Or Unspecified",66
"646","273.8 Other Disorders Of Plasma Protein Metabolism",65
"647","E08.41 Diabetes Mellitus Due To Underlying Condition With Diabetic Mononeuropathy",65
"648","F06.0 Psychotic Disorder With Hallucinations Due To Known Physiological Condition",65
"649","I13.11 Hypertensive Heart And Chronic Kidney Disease Without Heart Failure, With Stage 5 Chronic Kidney Disease, Or End Stage Renal Disease",65
"650","295.10 Disorganized Type Schizophrenia, Unspecified State",64
"651","301.3 Explosive Personality Disorder",64
"652","E11.01 Type 2 Diabetes Mellitus With Hyperosmolarity With Coma",64
"653","F60.6 Avoidant Personality Disorder",64
"654","F98.9 Unspecified Behavioral And Emotional Disorders With Onset Usually Occurring In Childhood And Adolescence",64
"655","249.00 Secondary Diabetes Mellitus, Not Stated As Uncontrolled, Or Unspecified",63
"656","E13.29 Other Specified Diabetes Mellitus With Other Diabetic Kidney Complication",63
"657","E72.19 Other Disorders Of Sulfur-Bearing Amino-Acid Metabolism",63
"658","F10.150 Alcohol Abuse With Alcohol-Induced Psychotic Disorder With Delusions",63
"659","F40.248 Other Situational Type Phobia",63
"660","255.8 Other Specified Disorders Of Adrenal Glands",62
"661","295.40 Acute Schizophrenic Episode, Unspecified State",62
"662","305.52 Opioid Abuse, Episodic Use",62
"663","E10.49 Type 1 Diabetes Mellitus With Other Diabetic Neurological Complication",62
"664","F44.4 Conversion Disorder With Motor Symptom Or Deficit",62
"665","296.61 Bipolar Affective Disorder, Mixed, Mild Degree",61
"666","304.41 Amphetamine And Other Psychostimulant Dependence, Continuous Use",61
"667","297.9 Unspecified Paranoid State",60
"668","F17.203 Nicotine Dependence Unspecified, With Withdrawal",60
"669","F40.02 Agoraphobia Without Panic Disorder",60
"670","F48.2 Pseudobulbar Affect",60
"671","F48.8 Other Specified Nonpsychotic Mental Disorders",60
"672","305.92 Other, Mixed, Or Unspecified Drug Abuse, Episodic Use",59
"673","F60.0 Paranoid Personality Disorder",59
"674","273.1 Monoclonal Paraproteinemia",58
"675","E11.3319 Type 2 Diabetes Mellitus With Moderate Nonproliferative Diabetic Retinopathy With Macular Edema, Unspecified Eye",58
"676","E87.2 Acidosis",58
"677","E88.01 Alpha-1-Antitrypsin Deficiency",58
"678","F10.188 Alcohol Abuse With Other Alcohol-Induced Disorder",58
"679","F10.988 Alcohol Use, Unspecified With Other Alcohol-Induced Disorder",58
"680","304.42 Amphetamine And Other Psychostimulant Dependence, Episodic Use",57
"681","E08.29 Diabetes Mellitus Due To Underlying Condition With Other Diabetic Kidney Complication",57
"682","E11.3553 Type 2 Diabetes Mellitus With Stable Proliferative Diabetic Retinopathy, Bilateral",57
"683","F10.231 Alcohol Dependence With Withdrawal Delirium",57
"684","F19.951 Other Psychoactive Substance Use, Unspecified With Psychoactive Substance-Induced Psychotic Disorder With Hallucinations",57
"685","299.90 Unspecified Childhood Psychosis, Current Or Active State",56
"686","305.22 Cannabis Abuse, Episodic Use",56
"687","307.41 Transient Disorder Of Initiating Or Maintaining Sleep",56
"688","E10.621 Type 1 Diabetes Mellitus With Foot Ulcer",56
"689","F51.3 Sleepwalking [Somnambulism]",56
"690","296.55 Bipolar Affective Disorder, Depressed, In Partial Or Unspecified Remission",55
"691","300.7 Hypochondriasis",54
"692","E10.59 Type 1 Diabetes Mellitus With Other Circulatory Complications",54
"693","F10.151 Alcohol Abuse With Alcohol-Induced Psychotic Disorder With Hallucinations",54
"694","F64.2 Gender Identity Disorder Of Childhood",54
"695","F98.1 Encopresis Not Due To A Substance Or Known Physiological Condition",54
"696","296.65 Bipolar Affective Disorder, Mixed, In Partial Or Unspecified Remission",53
"697","E11.3413 Type 2 Diabetes Mellitus With Severe Nonproliferative Diabetic Retinopathy With Macular Edema, Bilateral",53
"698","F11.220 Opioid Dependence With Intoxication, Uncomplicated",53
"699","F11.288 Opioid Dependence With Other Opioid-Induced Disorder",52
"700","F66 Other Sexual Disorders",52
"701","250.12 Type II Diabetes Mellitus [Non-Insulin Dependent Type] [Niddm Type] [Adult-Onset Type] Or Unspecified Type, Uncontrolled, With Ketoacidosis",51
"702","250.51 Diabetes Mellitus Type I [Insulin Dependent Type] [Iddm] [Juvenile Type], Not Stated As Uncontrolled, With Ophthalmic Manifestations",51
"703","291.89 Other Specified Alcoholic Psychosis",51
"704","E11.3499 Type 2 Diabetes Mellitus With Severe Nonproliferative Diabetic Retinopathy Without Macular Edema, Unspecified Eye",51
"705","E11.638 Type 2 Diabetes Mellitus With Other Oral Complications",51
"706","F12.980 Cannabis Use, Unspecified With Anxiety Disorder",51
"707","F80.1 Expressive Language Disorder",51
"708","278.1 Localized Adiposity",50
"709","300.14 Multiple Personality",50
"710","309.29 Other Adjustment Reactions With Predominant Disturbance Of Other Emotions",50
"711","F13.90 Sedative, Hypnotic, Or Anxiolytic Use, Unspecified, Uncomplicated",50
"712","F45.9 Somatoform Disorder, Unspecified",50
"713","F52.6 Dyspareunia Not Due To A Substance Or Known Physiological Condition",50
"714","F60.1 Schizoid Personality Disorder",50
"715","278.03 Obesity Hypoventilation Syndrome",49
"716","292.9 Unspecified Drug-Induced Mental Disorder",49
"717","F17.229 Nicotine Dependence, Chewing Tobacco, With Unspecified Nicotine-Induced Disorders",49
"718","E11.3519 Type 2 Diabetes Mellitus With Proliferative Diabetic Retinopathy With Macular Edema, Unspecified Eye",48
"719","E72.11 Homocystinuria",48
"720","F13.239 Sedative, Hypnotic Or Anxiolytic Dependence With Withdrawal, Unspecified",48
"721","F48.1 Depersonalization-Derealization Syndrome",48
"722","F51.8 Other Sleep Disorders Not Due To A Substance Or Known Physiological Condition",48
"723","253.2 Panhypopituitarism",47
"724","304.31 Cannabis Dependence, Continuous Use",47
"725","250.41 Diabetes Mellitus Type I [Insulin Dependent Type] [Iddm] [Juvenile Type], Not Stated As Uncontrolled, With Renal Manifestations",46
"726","291.9 Unspecified Alcoholic Psychosis",46
"727","295.80 Other Specified Types Of Schizophrenia, Unspecified State",46
"728","E08.49 Diabetes Mellitus Due To Underlying Condition With Other Diabetic Neurological Complication",46
"729","E80.7 Disorder Of Bilirubin Metabolism, Unspecified",46
"730","F10.980 Alcohol Use, Unspecified With Alcohol-Induced Anxiety Disorder",46
"731","F16.20 Hallucinogen Dependence, Uncomplicated",46
"732","V17.7 Family History Of Arthritis",46
"733","249.50 Secondary Diabetes Mellitus With Ophthalmic Manifestations, Not Stated As Uncontrolled, Or Unspecified",45
"734","301.12 Chronic Depressive Personality Disorder",45
"735","312.30 Impulse Control Disorder, Unspecified",45
"736","313.3 Relationship Problems Specific To Childhood And Adolescence",45
"737","F64.1 Gender Identity Disorder In Adolescence And Adulthood",45
"738","F81.89 Other Developmental Disorders Of Scholastic Skills",45
"739","301.22 Schizotypal Personality",44
"740","307.20 Tic Disorder, Unspecified",44
"741","F10.120 Alcohol Abuse With Intoxication, Uncomplicated",44
"742","F19.959 Other Psychoactive Substance Use, Unspecified With Psychoactive Substance-Induced Psychotic Disorder, Unspecified",44
"743","E08.319 Diabetes Mellitus Due To Underlying Condition With Unspecified Diabetic Retinopathy Without Macular Edema",43
"744","E10.39 Type 1 Diabetes Mellitus With Other Diabetic Ophthalmic Complication",43
"745","259.8 Other Specified Endocrine Disorders",42
"746","306.8 Other Specified Psychophysiological Malfunction",42
"747","F13.230 Sedative, Hypnotic Or Anxiolytic Dependence With Withdrawal, Uncomplicated",42
"748","250.91 Diabetes Mellitus Type I [Insulin Dependent Type] [Iddm] [Juvenile Type], Not Stated As Uncontrolled, With Unspecified Complication",41
"749","313.83 Academic Underachievement Disorder Of Childhood Or Adolescence",41
"750","314.9 Unspecified Hyperkinetic Syndrome Of Childhood",41
"751","E10.51 Type 1 Diabetes Mellitus With Diabetic Peripheral Angiopathy Without Gangrene",41
"752","E10.610 Type 1 Diabetes Mellitus With Diabetic Neuropathic Arthropathy",41
"753","F11.94 Opioid Use, Unspecified With Opioid-Induced Mood Disorder",41
"754","292.89 Other Specified Drug-Induced Mental Disorders",40
"755","310.1 Organic Personality Syndrome",40
"756","E13.43 Other Specified Diabetes Mellitus With Diabetic Autonomic (Poly)Neuropathy",40
"757","E67.3 Hypervitaminosis D",40
"758","F12.99 Cannabis Use, Unspecified With Unspecified Cannabis-Induced Disorder",40
"759","256.2 Postablative Ovarian Failure",39
"760","290.40 Arteriosclerotic Dementia, Uncomplicated",39
"761","301.6 Dependent Personality Disorder",39
"762","E11.3419 Type 2 Diabetes Mellitus With Severe Nonproliferative Diabetic Retinopathy With Macular Edema, Unspecified Eye",39
"763","E83.59 Other Disorders Of Calcium Metabolism",39
"764","246.2 Cyst Of Thyroid",38
"765","250.43 Diabetes Mellitus Type I [Insulin Dependent Type] [Iddm] [Juvenile Type], Uncontrolled, With Renal Manifestations",38
"766","294.11 Dementia In Conditions Classified Elsewhere With Behavioral Disturbance",38
"767","315.39 Other Developmental Speech Disorder",38
"768","E77.8 Other Disorders Of Glycoprotein Metabolism",38
"769","F31.72 Bipolar Disorder, In Full Remission, Most Recent Episode Hypomanic",38
"770","F42 Obsessive-Compulsive Disorder",38
"771","F94.1 Reactive Attachment Disorder Of Childhood",38
"772","252.1 Hypoparathyroidism",37
"773","275.49 Other Disorders Of Calcium Metabolism",37
"774","293.82 Organic Hallucinosis Syndrome",37
"775","300.15 Dissociative Disorder Or Reaction, Unspecified",37
"776","E08.10 Diabetes Mellitus Due To Underlying Condition With Ketoacidosis Without Coma",37
"777","E08.11 Diabetes Mellitus Due To Underlying Condition With Ketoacidosis With Coma",37
"778","F05 Delirium Due To Known Physiological Condition",37
"779","F11.99 Opioid Use, Unspecified With Unspecified Opioid-Induced Disorder",37
"780","F19.239 Other Psychoactive Substance Dependence With Withdrawal, Unspecified",37
"781","242.80 Thyrotoxicosis Of Other Specified Origin Without Mention Of Thyrotoxic Crisis Or Storm",36
"782","272.6 Lipodystrophy",36
"783","279.49 Autoimmune Disease, Not Elsewhere Classified",36
"784","304.33 Cannabis Dependence, In Remission",36
"785","F10.282 Alcohol Dependence With Alcohol-Induced Sleep Disorder",36
"786","F44.89 Other Dissociative And Conversion Disorders",36
"787","F73 Profound Mental Retardation",36
"788","Z81.3 Family History Of Other Psychoactive Substance Abuse And Dependence",36
"789","256.39 Other Ovarian Failure",35
"790","307.59 Other Disorders Of Eating",35
"791","E08.59 Diabetes Mellitus Due To Underlying Condition With Other Circulatory Complications",35
"792","F11.93 Opioid Use, Unspecified With Withdrawal",35
"793","F15.951 Other Stimulant Use, Unspecified With Stimulant-Induced Psychotic Disorder With Hallucinations",35
"794","F15.959 Other Stimulant Use, Unspecified With Stimulant-Induced Psychotic Disorder, Unspecified",35
"795","F91.8 Other Conduct Disorders",35
"796","292.84 Drug-Induced Organic Affective Syndrome",34
"797","297.8 Other Specified Paranoid States",34
"798","E10.311 Type 1 Diabetes Mellitus With Unspecified Diabetic Retinopathy With Macular Edema",34
"799","E86.1 Hypovolemia",34
"800","F14.29 Cocaine Dependence With Unspecified Cocaine-Induced Disorder",34
"801","F17.298 Nicotine Dependence, Other Tobacco Product, With Other Nicotine-Induced Disorders",34
"802","F52.32 Male Orgasmic Disorder",34
"803","F55.8 Abuse Of Other Non-Psychoactive Substances",34
"804","F60.4 Histrionic Personality Disorder",34
"805","F81.2 Mathematics Disorder",34
"806","F93.9 Childhood Emotional Disorder, Unspecified",34
"807","250.0 Diabetes Mellitus Without Mention Of Complication",33
"808","250.63 Diabetes Mellitus Type I [Insulin Dependent Type] [Iddm] [Juvenile Type], Uncontrolled, With Neurological Manifestations",33
"809","300.82 Undifferentiated Somatoform Disorder",33
"810","F10.159 Alcohol Abuse With Alcohol-Induced Psychotic Disorder, Unspecified",33
"811","F11.14 Opioid Abuse With Opioid-Induced Mood Disorder",33
"812","F30.2 Manic Episode, Severe With Psychotic Symptoms",33
"813","V17.81 Osteoporosis",33
"814","E13.22 Other Specified Diabetes Mellitus With Diabetic Chronic Kidney Disease",32
"815","E74.8 Other Specified Disorders Of Carbohydrate Metabolism",32
"816","F40.232 Fear Of Other Medical Care",32
"817","F55.3 Abuse Of Steroids Or Hormones",32
"818","F63.89 Other Impulse Disorders",32
"819","304.60 Other Specified Drug Dependence, Unspecified Use",31
"820","E09.65 Drug Or Chemical Induced Diabetes Mellitus With Hyperglycemia",31
